gpa,internships,projects,certifications,soft_skills_score,networking_score,career_readiness
7.8,2,2,5,4.09,4.78,1
6.46,0,3,0,2.37,2.57,0
8.25,3,3,5,5.64,6.06,1
8.44,0,6,5,6.88,4.01,1
5.55,1,5,2,4.14,5.46,1
6.2,1,3,1,3.14,5.98,0
7.63,0,4,0,8.01,5.66,1
7.18,0,1,0,6.56,2.32,0
7.48,0,1,1,4.78,4.23,0
6.65,1,3,3,7.34,9.26,1
8.38,1,4,4,5.98,7.79,1
8.28,2,0,0,9.08,6.67,1
7.57,0,1,2,6.83,5.55,0
8.63,1,3,2,2.72,3.02,0
7.97,0,0,1,4.18,4.68,0
6.64,4,2,2,4.28,4.16,1
7.87,2,3,4,6.12,4.83,1
6.54,4,5,1,4.89,2.11,1
8.38,3,2,0,3.25,6.91,1
7.45,1,1,2,6.68,1.0,0
7.32,2,0,0,7.5,6.71,1
6.82,1,1,4,5.29,6.75,1
8.72,3,4,4,5.92,9.65,2
7.35,1,2,0,3.56,4.5,0
7.07,1,1,2,4.45,3.96,0
7.15,3,6,3,4.54,5.24,1
8.03,3,4,2,6.62,6.12,1
7.87,4,1,2,6.01,4.82,1
7.91,0,2,5,4.84,2.63,0
7.93,0,5,1,4.76,6.12,1
9.64,1,4,2,1.56,5.0,1
7.09,1,6,0,8.71,2.98,1
6.99,1,0,1,1.33,1.75,0
6.69,0,4,4,6.34,9.94,1
8.12,2,0,3,5.58,6.66,1
8.63,0,2,2,4.97,6.12,1
7.39,2,4,0,5.48,4.77,1
6.66,3,4,4,4.17,6.38,1
6.68,2,0,1,6.81,2.9,0
8.15,1,1,2,2.87,5.4,0
8.24,0,4,1,6.16,5.49,1
8.04,0,1,2,4.14,2.94,0
6.83,2,2,2,4.65,4.79,0
7.73,1,1,1,4.7,4.17,0
7.62,0,1,2,5.17,3.47,0
7.72,4,5,1,6.5,3.92,1
8.37,2,0,2,5.43,1.59,0
7.72,3,3,2,7.37,7.13,1
8.18,1,4,4,7.59,8.12,1
7.57,4,0,0,6.12,3.15,1
7.79,0,3,0,6.87,7.22,1
8.13,0,2,0,9.55,4.94,1
6.04,3,5,0,2.67,4.98,1
7.18,3,4,2,7.65,2.41,1
7.03,1,4,1,8.59,3.88,1
6.86,0,2,0,6.37,6.07,0
7.22,1,4,1,9.31,3.05,1
8.99,2,3,2,9.05,3.52,1
6.63,3,2,3,4.83,3.98,1
8.47,1,1,1,4.98,1.0,0
5.82,0,0,5,6.56,5.66,0
7.17,2,2,0,4.25,6.27,0
7.66,2,2,2,10.0,5.73,1
8.09,1,5,1,7.08,6.89,1
8.21,1,6,3,5.59,4.11,1
8.29,4,1,0,2.68,8.62,1
7.15,0,6,5,6.0,3.31,1
7.04,1,4,3,3.13,4.55,1
8.36,2,3,2,7.02,4.35,1
7.31,1,6,2,1.0,5.37,1
6.22,3,4,1,8.27,4.52,1
6.37,2,3,0,4.65,4.79,0
6.58,1,1,4,2.12,3.64,0
8.0,0,2,3,5.47,4.12,0
7.64,2,5,0,5.53,1.0,1
8.19,0,1,0,5.37,6.6,0
7.07,0,0,1,8.26,2.96,0
7.66,1,2,3,6.26,4.02,1
8.13,1,3,2,7.09,2.88,1
7.19,4,2,2,5.0,6.14,1
7.96,2,6,0,6.35,3.91,1
6.84,3,2,4,2.88,1.0,0
7.14,1,5,0,6.02,5.56,1
7.12,1,3,1,3.98,3.51,0
6.3,4,3,4,8.14,4.95,1
7.99,1,1,3,5.65,6.66,1
7.03,3,2,2,6.83,3.02,1
7.51,1,5,4,6.02,4.9,1
7.98,0,4,0,9.11,3.46,1
7.95,1,2,0,2.38,6.97,0
8.17,0,5,0,5.27,5.16,1
7.4,0,4,1,3.58,4.95,0
7.08,0,1,3,1.4,2.52,0
7.42,0,3,2,3.45,6.5,0
5.81,1,4,1,7.84,6.75,1
6.05,3,4,3,5.44,3.47,1
6.18,1,1,1,5.06,5.31,0
6.5,3,1,0,7.05,6.18,1
7.9,1,2,1,5.73,9.44,1
6.59,0,2,3,6.73,5.78,0
7.12,0,1,2,6.15,5.0,0
8.8,4,3,5,6.59,4.69,2
7.14,2,3,4,4.6,4.81,1
8.24,4,1,3,7.59,6.53,1
6.57,1,3,3,3.08,3.24,0
7.29,2,0,2,5.33,6.87,1
6.55,2,2,4,7.69,1.92,1
7.16,4,4,2,5.19,6.33,1
8.34,0,5,1,4.64,6.89,1
5.77,4,2,0,10.0,6.61,1
7.93,1,5,3,8.34,5.54,1
7.74,3,5,1,5.78,5.79,1
6.91,1,3,3,3.56,4.2,0
6.05,1,6,5,1.43,2.75,1
7.57,1,2,1,6.92,5.5,1
6.97,3,0,1,8.03,5.14,1
7.73,0,5,0,6.29,6.85,1
7.52,1,3,2,2.08,4.72,0
9.1,1,2,2,5.82,5.32,1
7.26,2,0,1,4.53,5.57,0
6.48,1,0,2,5.82,6.14,0
7.68,2,1,2,9.39,6.9,1
7.72,1,1,1,7.08,3.09,0
8.86,2,6,0,6.65,6.4,1
8.34,2,2,1,5.41,4.64,1
7.86,2,4,3,6.33,6.29,1
8.96,3,0,1,4.05,7.96,1
6.31,1,2,0,6.61,1.0,0
6.86,0,5,1,5.11,7.43,1
6.57,2,1,2,3.86,4.76,0
7.11,0,2,3,7.13,3.29,0
6.12,0,4,1,1.04,4.12,0
8.14,2,1,2,4.41,2.94,0
7.28,1,0,3,6.73,6.01,0
6.03,1,6,4,7.95,2.93,1
6.48,4,2,2,6.44,7.41,1
7.81,0,3,2,4.16,6.38,1
8.34,0,1,0,5.4,5.45,0
9.5,0,1,1,6.08,1.0,0
10.0,0,3,4,8.62,2.35,1
7.91,2,4,0,7.34,4.84,1
6.51,2,2,1,7.36,4.95,1
5.37,1,5,2,5.63,6.88,1
7.77,0,4,4,3.36,1.0,0
6.69,1,3,0,2.69,3.48,0
7.08,0,3,4,4.9,6.67,1
6.89,2,3,1,6.9,4.33,1
7.36,2,4,4,4.5,4.07,1
8.57,0,1,4,6.64,1.78,0
7.66,3,5,3,3.91,7.12,1
7.34,2,3,4,4.22,4.03,1
6.46,1,6,5,8.32,7.19,2
5.83,2,6,4,7.03,7.93,1
7.01,2,0,2,4.89,7.63,0
7.45,0,2,2,3.84,4.94,0
9.27,0,3,0,7.4,4.03,1
7.63,2,3,1,7.25,3.9,1
8.48,4,4,2,6.78,8.94,2
7.0,1,1,0,5.14,4.58,0
6.32,1,3,4,3.31,7.11,1
6.53,2,6,1,5.47,5.96,1
6.77,1,6,0,8.32,4.18,1
9.63,0,0,1,3.68,4.49,0
6.68,1,6,0,5.59,7.37,1
8.34,3,1,0,8.77,5.06,1
6.6,3,3,2,4.89,4.09,1
8.43,4,2,1,5.25,3.39,1
7.88,0,3,3,2.8,5.64,0
7.34,1,0,1,6.75,3.97,0
7.46,1,2,3,4.02,6.19,1
6.85,0,2,3,2.39,10.0,0
7.95,0,5,0,3.59,6.04,1
7.05,2,3,0,5.92,8.61,1
6.27,2,4,3,2.34,3.57,0
6.22,2,4,3,2.73,6.37,1
7.67,0,2,0,6.62,7.51,1
9.08,1,0,2,5.36,7.76,1
7.66,0,1,1,3.67,7.56,0
7.38,0,3,0,4.86,5.03,0
7.79,1,6,1,8.98,6.78,1
8.81,1,2,3,8.06,2.96,1
7.72,4,4,1,5.29,8.21,1
7.09,1,4,2,7.13,3.1,1
8.61,0,5,0,5.74,7.51,1
7.93,0,2,0,1.95,7.09,0
9.04,2,6,1,1.59,7.07,1
7.68,0,3,2,3.68,9.13,1
6.28,0,3,3,2.35,7.1,0
6.13,1,4,3,6.04,2.35,1
9.15,0,2,0,4.4,6.18,0
9.22,2,4,0,6.35,1.22,1
7.32,1,3,1,6.38,4.82,1
